"","Country.Name","Country.Code","Indicator.Name","Indicator.Code","year","LifeExpectancy"
"1","Aruba","ABW","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",64.084
"2","Andorra","AND","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",NA
"3","Afghanistan","AFG","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",31.589
"4","Angola","AGO","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",31.538
"5","Albania","ALB","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",61.309
"6","Arab World","ARB","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",45.86331252
"7","United Arab Emirates","ARE","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",49.612
"8","Argentina","ARG","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",62.417
"9","Armenia","ARM","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",62.822
"10","American Samoa","ASM","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",NA
"11","Antigua and Barbuda","ATG","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",59.512
"12","Australia","AUS","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",67.78571429
"13","Austria","AUT","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",65.41
"14","Azerbaijan","AZE","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",57.346
"15","Burundi","BDI","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",39.698
"16","Belgium","BEL","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",66.78
"17","Benin","BEN","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",36.829
"18","Burkina Faso","BFA","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",33.454
"19","Bangladesh","BGD","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",45.522
"20","Bulgaria","BGR","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",67.55
"21","Bahrain","BHR","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",48.944
"22","Bahamas, The","BHS","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",60.791
"23","Bosnia and Herzegovina","BIH","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",58.685
"24","Belarus","BLR","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",65.032
"25","Belize","BLZ","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",58.656
"26","Bermuda","BMU","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",NA
"27","Bolivia","BOL","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",40.831
"28","Brazil","BRA","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",52.424
"29","Barbados","BRB","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",58.56
"30","Brunei Darussalam","BRN","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",61.095
"31","Bhutan","BTN","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",32.014
"32","Botswana","BWA","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",48.757
"33","Central African Republic","CAF","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",34.948
"34","Canada","CAN","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",68.26
"35","Central Europe and the Baltics","CEB","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",65.41599189
"36","Switzerland","CHE","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",68.65
"37","Channel Islands","CHI","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",67.811
"38","Chile","CHL","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",54.79
"39","China","CHN","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",42.014
"40","Cote d'Ivoire","CIV","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",35.909
"41","Cameroon","CMR","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",40.234
"42","Congo, Rep.","COG","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",47.367
"43","Colombia","COL","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",55.047
"44","Comoros","COM","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",39.96
"45","Cabo Verde","CPV","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",47.693
"46","Costa Rica","CRI","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",59.224
"47","Caribbean small states","CSS","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",60.48135735
"48","Cuba","CUB","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",62.271
"49","Curacao","CUW","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",NA
"50","Cayman Islands","CYM","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",NA
"51","Cyprus","CYP","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",67.631
"52","Czech Republic","CZE","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",67.5
"53","Germany","DEU","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",66.751
"54","Djibouti","DJI","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",42.732
"55","Dominica","DMA","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",NA
"56","Denmark","DNK","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",70.44
"57","Dominican Republic","DOM","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",50.396
"58","Algeria","DZA","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",45.44
"59","East Asia & Pacific (developing only)","EAP","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",43.9221
"60","East Asia & Pacific (all income levels)","EAS","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",46.32299792
"61","Europe & Central Asia (developing only)","ECA","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",58.1742872
"62","Europe & Central Asia (all income levels)","ECS","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",64.09471962
"63","Ecuador","ECU","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",51.955
"64","Egypt, Arab Rep.","EGY","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",46.822
"65","Euro area","EMU","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",66.62202519
"66","Eritrea","ERI","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",35.379
"67","Spain","ESP","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",66.68
