Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aruba,ABW,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,3.129959741,6.191071177,3.035258809,4.78304323,5.661171623,5.25292202,3.524416838,2.375812752,2.085261549,1.895285988,1.547260289,2.377886317,3.382974534,3.159037743,2.233198783,2.872472426,2.735616968,2.836855745,2.447857667,2.793356958,0.888188509,0.673233818,,,,,,,,,,,,,,,,,,,,16.67000915,31.79143108,34.82243887,43.66620068,45.14031647,41.70836175,50.28265966,47.64406729,49.72070317,40.45265631,38.1157901,30.90550523,23.96416261,23.29054902,
Angola,AGO,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,1.3537304,1.94854,2.0110728,2.3491688,2.4992176,3.9759192,2.613029329,9.822397893,8.93855701,30.11586393,11.24693902,7.807847602,5.548779017,6.409844174,8.217089423,4.057170335,3.833592586,3.032978239,3.06927222,5.433384268,1.258559873,0.353915345,0.429479903,0.492936057,0.359856625,0.314734025,0.190477033,0.209785188,0.220081856,,
Albania,ALB,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.261499389,0.442821814,0.526259401,29.70558461,60.18231653,22.25856271,8.193206463,7.317372571,6.690980541,6.976524471,9.649203669,13.98496016,8.501341416,6.412499276,6.765579727,6.005070903,4.006159486,3.835036614,3.476971639,2.793122818,2.805959402,3.011624471,3.084317194,2.963610374,2.864650136,2.10320255,2.145390458,
Arab World,ARB,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,,3.181997213,3.185035891,1.960705508,1.925819962,1.699175977,2.26790448,1.971810801,1.95481938,3.946120393,3.56230628,4.654650778,3.926209365,4.055263629,3.562168531,3.116967326,2.676281993,2.516035136,2.258735138,2.048967796,1.892320304,2.151346258,2.101361769,2.064907681,1.644691358,1.527613355,2.747898128,2.585605523,1.738454861,1.519381182,1.560933567,1.122201476,1.072528218,0.93967948,1.060595396,0.847649665,0.695401578,0.763040398,0.73127708,1.118080029,1.228185719,2.485751611,1.247238014,1.153432808,1.091706596,0.802693907,0.593135678,0.553069591,0.548953598,0.797756699,,
United Arab Emirates,ARE,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,0.158670626,0.201654291,0.065555394,-0.2139057,-0.032520935,0.08909704,0.156347358,0.082096697,0.030727406,0.0823854,0.068188131,0.08660485,0.049422199,0.049503172,0.059724525,0.049556966,0.048790229,0.062629173,0.025535293,0.05668767,0.037529736,0.047923889,0.06465609,0.046634198,0.081059479,0.09375809,0.126412502,0.30005926,0.124853841,0.148854521,0.117525194,0.096820385,0.057625121,0.056267151,0.049045933,0.035588039,0.027117877,0.027733202,0.018973021,0.055776526,0.089907622,0.089050405,0.052900192,0.045033258,0.044853744,0.031333879,0.032949313,0.03446061,0.026874865,0.016259793,0.030334638,0.005384425,0.00934927,
Armenia,ARM,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.131643242,2.111341093,9.927646105,14.54940379,14.83772619,17.79657069,9.556453827,9.937944459,11.00702791,10.98976804,9.69479822,12.15602335,8.747035203,6.878601345,3.335764334,3.223071746,3.607069357,2.449867522,5.839862923,3.521815738,3.779596465,2.455634523,2.392280415,2.174863051,
American Samoa,ASM,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
